llave_sintetica,k
B_21_2_25-29,3
B_21_2_30-34,11
B_21_2_35-39,8
B_21_2_40-44,5
B_21_2_45-49,7
B_21_2_5-9,17
B_21_2_50-54,5
B_21_2_55-59,4
B_21_2_60-64,1
B_21_2_65-69,1
B_21_2_75-79,2
B_21_2_80-84,3
B_21_2_Menor de 1,12
B_22_1_1-4,13
B_22_1_10-14,6
B_22_1_15-19,9
B_22_1_20-24,11
B_22_1_25-29,10
B_22_1_30-34,15
B_22_1_35-39,7
B_22_1_40-44,7
B_22_1_45-49,13
B_22_1_5-9,11
B_22_1_50-54,12
B_22_1_55-59,1
B_22_1_60-64,5
B_22_1_65-69,3
B_22_1_70-74,4
B_22_1_75-79,3
B_22_1_80-84,4
B_22_1_Menor de 1,7
B_22_2_1-4,12
B_22_2_10-14,7
B_22_2_15-19,11
B_22_2_20-24,2
B_22_2_25-29,7
B_22_2_30-34,11
B_22_2_35-39,5
B_22_2_40-44,12
B_22_2_45-49,4
B_22_2_5-9,4
B_22_2_50-54,1
B_22_2_55-59,2
B_22_2_60-64,2
B_22_2_65-69,1
B_22_2_70-74,2
B_22_2_75-79,1
B_22_2_80-84,2
B_22_2_85 y más,1
B_22_2_Menor de 1,5
B_23_1_10-14,19
B_23_1_15-19,14
B_23_1_20-24,32
B_23_1_25-29,49
B_23_1_30-34,48
B_23_1_40-44,34
B_23_1_45-49,26
B_23_1_5-9,48
B_23_1_50-54,25
B_23_1_55-59,8
B_23_1_60-64,15
B_23_1_65-69,16
B_23_1_70-74,12
B_23_1_75-79,10
B_23_1_80-84,7
B_23_1_85 y más,12
B_23_2_10-14,16
B_23_2_15-19,8
B_23_2_20-24,22
B_23_2_25-29,23
B_23_2_30-34,21
B_23_2_35-39,28
B_23_2_40-44,24
B_23_2_45-49,24
B_23_2_5-9,38
B_23_2_50-54,26
B_23_2_55-59,21
B_23_2_60-64,16
B_23_2_65-69,16
B_23_2_70-74,11
B_23_2_75-79,13
B_23_2_80-84,9
B_23_2_85 y más,10
B_24_1_1-4,24
B_24_1_10-14,11
B_24_1_15-19,6
B_24_1_20-24,10
B_24_1_25-29,21
B_24_1_30-34,22
B_24_1_35-39,25
B_24_1_40-44,22
B_24_1_45-49,11
B_24_1_5-9,13
B_24_1_50-54,11
B_24_1_55-59,8
B_24_1_60-64,11
B_24_1_65-69,14
B_24_1_70-74,8
B_24_1_75-79,7
B_24_1_80-84,1
